participant_number,test_date,child_id,response_id,response_uuid,age_range,rounded_age,age,gender,lan_spoken,by_plant,by_lamp,trial_1,trial_1_correct_answer,trial_1_response,trial_1_score,trial_2,trial_2_correct_answer,trial_2_response,trial_2_score,trial_3,trial_3_correct_answer,trial_3_response,trial_3_score,trial_4,trial_4_correct_answer,trial_4_response,trial_4_score,control_trial,control_trial_correct_answer,control_trial_response,control_trial_score,total_score,notes,exclude,exclude_reason,notes,include,race(will fill out later)
41,7/18/2023,Grannys_Gratitude_Stickers_20230718_5_Lookit_SZ,144564,5e7b9524-3a2a-4b5a-9a3d-143c99ceef6f,1461-1826,1530,4.19,female,en ,benji,harry,mason_correct_right_olivia,mason,mason who caught the ice cream,1,sara_correct_left_leo,sara,leo who got the toy bear,0,taylor_correct_right_zoey,taylor,taylor who caught the phone,1,emily_correct_left_andy,emily,andy who caught the basketball,0,vicky_correct_left,vicky,michael,0,2,,,,,,
42,7/18/2023,Grannys_Gratitude_Stickers_20230718_7_Lookit_SZ,144587,8041668a-1a9f-4f90-afb9-10e6b538f50f,1461-1826,1530,4.19,female,en it ru es,benji,harry,zoey_correct_right_taylor,zoey,zoey,1,andy_correct_left_emily,andy,andy,1,olivia_correct_right_mason,olivia,olivia,1,leo_correct_left_sara,leo,leo,1,michael_correct_left,michael,michael,1,4,"kid pointed, the parent said the names for the kid ",,,,,
43,7/18/2023,Grannys_Gratitude_Stickers_20230718_8_Lookit_SZ,144599,ee3e3369-7ffa-41d8-87b6-5bb7bc238b1e,1461-1826,1620,4.44,female,en ,benji,harry,andy_correct_left_emily,andy,emily who caught the basketball,0,leo_correct_left_sara,leo,leo who caught the glass vase,1,olivia_correct_right_mason,olivia,olivia who caught the ice cream,1,zoey_correct_right_taylor,zoey,zoey who caught the phone,1,vicky_correct_left,vicky,vicky,1,3,,,,,,
44,7/19/2023,Grannys_Gratitude_Stickers_20230719_4_Lookit_SZ,144833,012f2f41-d694-4f81-b27d-2072fb81f29b,1461-1826,1560,4.27,male,en,benji,harry,taylor_correct_right_zoey,taylor,taylor,1,emily_correct_left_andy,emily,egg,1,mason_correct_right_olivia,mason,ice cream,1,sara_correct_left_leo,sara,toy bear,0,vicky_correct_left,vicky,a lot of leaves,1,3,,,,,,
45,7/19/2023,Grannys_Gratitude_Stickers_20230719_7_Lookit_SZ,144899,31d65226-d11b-4fdc-af58-3e59c9bc2105,1461-1826,1530,4.19,female,en,benji,harry,andy_correct_left_emily,andy,emily,0,leo_correct_left_sara,leo,sara,0,zoey_correct_right_taylor,zoey,zoey,1,olivia_correct_right_mason,olivia,olivia,1,vicky_correct_left,vicky,vicky,1,2,,,,,,
46,7/20/2023,Grannys_Gratitude_Stickers_20230720_4_Lookit_SZ,145103,63a91f66-a726-4b21-8483-6f18ebc042c1,1461-1826,1740,4.77,female,en,benji,harry,mason_correct_left_olivia,mason,ice cream,1,emily_correct_right_andy,emily,emily,1,sara_correct_right_leo,sara,sara,1,taylor_correct_left_zoey,taylor,taylor,1,vicky_correct_left,vicky,a lot of leaves,1,4,,,,,,
47,7/21/2023,Grannys_Gratitude_Stickers_20230721_3_Lookit_SZ,145249,1944ed8c-33fc-4c8a-8712-950d84a1a0d9,1461-1826,1500,4.11,male,en,benji,harry,andy_correct_left_emily,andy,emily,0,zoey_correct_right_taylor,zoey,zoey,1,leo_correct_left_sara,leo,leo,1,olivia_correct_right_mason,olivia,ice cream,1,michael_correct_left,michael,michael,1,3,,,,,,
48,7/23/2023,Grannys_Gratitude_Stickers_20230723_2_Lookit_SZ,145443,feb7ab94-447f-45ed-b5e6-ad0a17f4ee7a,1461-1826,1770,4.85,male,en,benji,harry,taylor_correct_right_zoey,taylor,taylor who got the phone,1,mason_correct_right_olivia,mason,olivia,0,emily_correct_left_andy,emily,andy who caught the basketball,0,sara_correct_left_leo,sara,leo that caught the toy bear,0,vicky_correct_left,vicky,michael that got a little leaves,0,1,,,,,,
49,8/12/2023,Grannys_Gratitude_Stickers_20230812_4_Lookit_SZ,149298,bf81de82-0e25-48e8-9ef9-45e1c904663e,1461-1826,1680,4.60,female,en pes,benji,harry,andy_correct_right_emily,andy,andy who caught the egg,1,olivia_correct_left_mason,olivia,olivia who caught the ice cream,1,zoey_correct_left_taylor,zoey,phone,1,leo_correct_right_sara,leo,sara,0,vicky_correct_left,vicky,michael who swept a lot of leaves,1,3,,,,,,
50,8/13/2023,Grannys_Gratitude_Stickers_20230813_2_Lookit_SZ,149390,4b7dc252-6157-4062-b95a-e1e1aa90360e,1461-1826,1740,4.77,male,en,benji,harry,leo_correct_left_sara,leo,leo,1,andy_correct_left_emily,andy,andy,1,zoey_correct_right_taylor,zoey,zoey,1,olivia_correct_right_mason,olivia,olivia,1,vicky_correct_left,vicky,vicky,1,4,,,,,,
